Attraction,Description,Country,Continent
Chiesa di San Gregorio al Celio,Ring for admission to this landmark church standing on the spot where Pope Gregory the Great supposedly dispatched St Augustine to convert the British…,Italy,Europe
Menhir Museum,"Occupying an elegant 19th-century palazzo, this delightful museum exhibits a collection of 40 menhirs (billed as the largest such collection in the…",Italy,Europe
Basilica di San Fedele,"Hemmed in by houses these days and enclosing one side of what was once a medieval grain market, this Lombard Romanesque basilica dates back to the 7th…",Italy,Europe
Villa Pisani Nazionale,"To keep hard-partying Venetian nobles in line, Doge Alvise Pisani provided a Versailles-like reminder of who was in charge. The 1774, 114-room Villa…",Italy,Europe
Palazzo Doria-Tursi,"This palace, one of three that together make up the Musei di Strada Nuova, features a small but absorbing collection of legendary violinist Niccolò…",Italy,Europe
Vignamaggio,"Mona Lisa Gherardini, subject of Leonardo da Vinci's world-famous painting, married into the family that built this villa in the 14th century. After a…",Italy,Europe
Boscoreale,"Some 3km north of Pompeii, the archaeological site of Boscoreale consists of a rustic country villa dating back to the 1st century BC, and a fascinating…",Italy,Europe
Rotonda di San Lorenzo,"The weather-worn, 11th-century, Lombard Romanesque Rotonda di San Lorenzo is sunk below the level of the square, its red-brick walls still decorated with…",Italy,Europe
Museo Tecnico Navale della Spezia,"Maritime lovers shouldn't miss the world's oldest naval museum, which is reached via a narrow bridge a few blocks southwest of Parco Salvador Allende. The…",Italy,Europe
Riserva Naturale Provinciale Diaccia Botrona,"The marshes surrounding the coastal town of Castiglione della Pescaia are an important shelter for migrating birds, and this 12.7-sq-km nature reserve off…",Italy,Europe
Museo dello Spedale del Ceppo,"The beautifully restored facade of this former hospital, operational from 1277 until 2013, stuns with its 16th-century polychrome terracotta frieze by…",Italy,Europe
Duomo di San Martino,"Grandiose white-marble steps flank Pietrasanta's attractive cathedral, built in the 14th century on the site of an earlier church dating from 1250. Its…",Italy,Europe
Abbazia di Santo Spirito Al Morrone,"It’s hard to miss this massive 13th-century Celestine abbey in Badia, close to the sheer western slopes of the Morrone mountains. Notable for its…",Italy,Europe
Acetaia Giusti,"Modena's oldest balsamic vinegar producer (since 1605) is also one of the best and most dependable to visit, with six one-hour English tours daily (9.30am…",Italy,Europe
Pinacoteca Comunale,"Piazza Armerina's small, slick public art gallery showcases mostly local artwork from the 15th to 19th centuries, including altarpieces and frescoes from…",Italy,Europe
Roscigno Vecchia,"One understated element of Italy is its abandoned villages, little visited places, covered in weeds and heavy with an atmosphere that is both ghostly and…",Italy,Europe
Palazzo dei Papi,"Flanking Piazza San Lorenzo, this handsome Gothic palazzo was built for the popes who lived in Viterbo from 1257 to 1281. Its most obvious feature is the…",Italy,Europe
Tomb of St Peter,"Excavations beneath St Peter's Basilica have uncovered part of the original church and a necropolis with what is held to be the Tomb of St Peter. In 1942,…",Italy,Europe
Spiaggia Marianelli,"This is the most beautiful of the beaches in the Riserva Naturale di Vendicari, a protected stretch of coastline around 11km south of Noto. Located at the…",Italy,Europe
Mausoleo delle Fosse Ardeatine,"This mausoleum is dedicated to the victims of Rome’s worst WWII atrocity. Buried here, outside the Ardeatine Caves, are 335 Italians shot by the Nazis on…",Italy,Europe
Nuraghe Losa,"Off the SS131 just north of Paulilatino, the Nuraghe Losa is one of Sardinia's most impressive nuraghi. The site’s centrepiece is a three-sided keep…",Italy,Europe
Piazza Sordello,"Piazza Sordello is the oldest square in Mantua, and was probably the location of the Etruscan town. The existing layout is thanks to the Gonzagas, whose…",Italy,Europe
Parco Naturale Regionale Molentargius,The protected reed-fringed wetlands of the Parco Naturale Regionale Molentargius lie slightly east of Cagliari towards Quartu Sant’Elena. A housing estate…,Italy,Europe
Casa delle Vestali,"The Casa delle Vestali, situated in the heart of the Roman Forum, was home to the Vestal Virgins who tended the sacred flame in the adjoining Tempio di…",Italy,Europe
Duomo & Museo Cristiano,"Cividale’s 16th-century, Venetian-Gothic cathedral sits on an ancient 8th-century church and is filled with unusual treasures. Among them is the lacquered…",Italy,Europe
Piazza Pio II,Stand in this magnificent square and spin 360 degrees. You've just taken in an overview of Pienza's major monuments. Gems of the Renaissance constructed…,Italy,Europe
San Domino,"Head to San Domino for walks, grottoes and coves. It has a pristine, marvellous coastline and the islands' only sandy beach, Cala delle Arene. Alongside…",Italy,Europe
Museo Mandralisca,"This small, privately owned museum showcases a collection amassed by parliamentarian, archaeologist and natural-history buff, Baron Mandralisca (1809–64)…",Italy,Europe
Ex Mira Lanza Museum,"The ruins of this 19th-century soap factory in Ostiense, built in 1899, are the site of an experimental museum of street art. Home to a handful of…",Italy,Europe
Chiesa di Sant’Andrea della Valle,"A must for opera fans, this towering 17th-century church is where Giacomo Puccini set the first act of Tosca. Its most obvious feature is Carlo Maderno’s…",Italy,Europe
Centro Storico,"Piazza Quintino Sella, Iglesias' central square, was laid out in the 19th century in what was at the time a field outside the city walls. Just off the…",Italy,Europe
Basilica Palladiana,"Now a venue for world-class exhibitions, the Palladian Basilica is capped with an enormous copper dome reminiscent of the hull of a ship. The building,…",Italy,Europe
Terme Maschili,The Terme Maschili were the men's section of the Terme del Foro (Forum Baths). Note the ancient latrine to the left of the entrance before you step into…,Italy,Europe
Basilica di Sant'Abbondio,"About 500m south of Como’s city walls is this austere 11th-century Romanesque church, once the seat of a bishopric built on the orders of St Amantius of…",Italy,Europe
Museo Mille Miglia,The original Mille Miglia (Thousand Miles) ran between 1927 and 1957 and was one of Italy's most legendary endurance car races – it started in Brescia and…,Italy,Europe
Museo Archeologico di Pithecusae,"Housed in the elegant Villa Arbusto, former home of local celeb Angelo Rizzoli, the Museo Archeologico di Pithecusae enjoys a heady historical location…",Italy,Europe
Miqweh,"Buried 20m beneath the Alla Giudecca hotel in Ortygia's old Jewish ghetto (known as the Giudecca) is an extraordinary ancient Jewish miqwe (ritual bath),…",Italy,Europe
Grotta di Seiano,"At the bottom of a long, steep and exhausting descent, the Grotta di Seiano isn't actually a cave but a 1st-century tunnel linking the Roman Villa…",Italy,Europe
Museo del Gioiello,"Vicenza's expertise in jewellery dates back to 600 BC when the Vicentini were crafting clothing fasteners, called fibula. This museum celebrates that…",Italy,Europe
Orto Botanico,"Planted in 1545 by Padua University’s medical faculty to study the medicinal properties of rare plants, Padua’s World Heritage–listed Orto Botanico is the…",Italy,Europe
Centro Storico,"The small village on the hill is upper Ventimiglia, home to one of the largest historic centres in the Italian Riviera. Medieval walls surround the lofty…",Italy,Europe
Parco Regionale del Monte Cucco,"In Umbria's wild northeastern fringes, the Parco Regionale del Monte Cucco is a gorgeous swathe of wildflower-speckled meadows, gentle slopes brushed with…",Italy,Europe
Chiesa di San Giuseppe,"Completed in 1772, the pared-back, late-baroque Chiesa di San Giuseppe claims beautiful stuccowork and a valuable marble statue of Santa Agrippina,…",Italy,Europe
Castelmola,"For eye-popping views of the coastline and Mt Etna, head for this cute hilltop village above Taormina, crowned by a ruined castle. If you're reasonably…",Italy,Europe
Val Rosandra,"Southeast of Trieste is this natural wilderness, shaped by the passage of the Rosandra stream, which starts in Slovenia, tumbles off the Karst plateau and…",Italy,Europe
Cattedrale di San Ciriaco,"A stiff but scenic climb up from the old town, Ancona's domed cathedral dominates the city skyline. Guarded by two marble lions, it commands sweeping…",Italy,Europe
Chiesa dell’Annunziata,Vico’s clifftop former cathedral is the only Gothic church on the Sorrento Peninsula. Little remains of the original 14th-century structure other than the…,Italy,Europe
Laboratorio Michele Iodice,"For an evocative encounter with Naples' contemporary art scene, book a visit to Michele Iodice's studio. Located in a spectacular 18th-century quarry, the…",Italy,Europe
Museo Casa Natale Gabriele D'Annunzio,"The birthplace of controversial proto-fascist poet Gabriele D'Annunzio is small but excellently curated, with nine rooms displaying furniture, documents,…",Italy,Europe
Università degli Studi di Napoli Federico II,"Founded in 1224 by Frederick II of Hohenstaufen, this is one of the world's oldest universities, its past students including St Thomas Aquinas, former…",Italy,Europe
Piazza Colonna,"Together with the adjacent Piazza di Montecitorio, this stylish piazza is Rome’s political nerve centre. On its northern flank, the 16th-century Palazzo…",Italy,Europe
Grotte di Pertosa-Auletta,"(Re)discovered in 1932, the Grotte di Pertosa-Auletta date back 35 million years. Used by the Greeks and Romans as places of worship, the caves burrow for…",Italy,Europe
Greek Fortifications of Capo Soprano,"Built in 333 BC along Gela's western coastline at Capo Soprano by the tyrant of Syracuse, Timoleon, Gela's ancient Greek fortifications are remarkably…",Italy,Europe
